0.0530935236842 0.0333347465776 -0.119077616427 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.121134] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.131424] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.139617] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.149868] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5982170892 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.158086] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5982170892 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.164249] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5982170892 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.166305] 
0.0530969267849 0.0333343144779 -0.119078728594 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.172470] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.178591] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.182703] 
0.0530952252385 0.0333345305494 -0.119078172507 -10.5967977592 -16.2197439878 -167.300215852 0.0530952252385 0.0333345305494 -0.119078172507 -9.02738043981 -16.275027147 -165.515261727 [( 0.053,  0.033, -0.119),(yaw:-10.6, pitch:-16.2, roll:-167.3),stamp=2014-07-09T13:52:23.188831] 
