0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.603618] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.609792] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.613908] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.613908] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.626220] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.630335] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.634440] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.640574] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.644683] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.652203] 
0.0571822797084 0.0434284365938 -0.133098744721 -11.5203188156 -15.2808643305 -164.793017933 0.0571822797084 0.0434284365938 -0.133098744721 -8.70295541288 -15.2576708439 -163.408862944 [( 0.057,  0.043, -0.133),(yaw:-11.5, pitch:-15.3, roll:-164.8),stamp=2014-07-09T14:03:11.656326] 
