0.0591332376146 0.0392621312355 -0.134413631583 -71.8329961869 -6.8049693732 -162.212547174 0.0591332376146 0.0392621312355 -0.134413631583 -70.8243048125 -0.483480753321 -161.10789554 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.719065] 
0.0591332376146 0.0392621312355 -0.134413631583 -71.8329961869 -6.8049693732 -162.212547174 0.0591332376146 0.0392621312355 -0.134413631583 -70.8243048125 -0.483480753321 -161.10789554 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.733447] 
0.0591332376146 0.0392621312355 -0.134413631583 -71.8329961869 -6.8049693732 -162.212547174 0.0591332376146 0.0392621312355 -0.134413631583 -70.8243048125 -0.483480753321 -161.10789554 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.737556] 
0.0591332376146 0.0392621312355 -0.134413631583 -71.8329961869 -6.8049693732 -162.212547174 0.0591332376146 0.0392621312355 -0.134413631583 -70.8243048125 -0.483480753321 -161.10789554 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.743735] 
0.0591332376146 0.0392621312355 -0.134413631583 -71.8329961869 -6.8049693732 -162.212547174 0.0591332376146 0.0392621312355 -0.134413631583 -70.8243048125 -0.483480753321 -161.10789554 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.754746] 
0.0591332376146 0.0392621312355 -0.134413631583 -71.8329961869 -6.8049693732 -162.212547174 0.0591332376146 0.0392621312355 -0.134413631583 -70.8243048125 -0.483480753321 -161.10789554 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.758947] 
0.0591332376146 0.0392621312355 -0.134413631583 -71.8329961869 -6.8049693732 -162.212547174 0.0591332376146 0.0392621312355 -0.134413631583 -70.8243048125 -0.483480753321 -161.10789554 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.769641] 
0.0591332376146 0.0392621312355 -0.134413631583 -71.8329961869 -6.8049693732 -162.212547174 0.0591332376146 0.0392621312355 -0.134413631583 -70.8243048125 -0.483480753321 -161.10789554 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.788169] 
0.0591332376146 0.0392621312355 -0.134413631583 -71.8329961869 -6.8049693732 -162.212547174 0.0591332376146 0.0392621312355 -0.134413631583 -70.8243048125 -0.483480753321 -161.10789554 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.788169] 
0.0591332376146 0.0392621312355 -0.134413631583 -71.8329961869 -6.8049693732 -162.212547174 0.0591332376146 0.0392621312355 -0.134413631583 -70.8243048125 -0.483480753321 -161.10789554 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.803351] 
0.0591332376146 0.0392621312355 -0.134413631583 -71.8329961869 -6.8049693732 -162.212547174 0.0591332376146 0.0392621312355 -0.134413631583 -70.8243048125 -0.483480753321 -161.10789554 [( 0.059,  0.039, -0.134),(yaw:-71.8, pitch:-6.8, roll:-162.2),stamp=2014-07-09T14:45:37.814148] 
